Districts,weight,humidity,temperature,quality,month
Dindigul,1048.91333,44.69519879,71.48213078,1,March
Erode,1029.567058,30.42090862,70.72507986,0,April
Kallakurichi,971.9097634,34.94724714,70.09771799,1,May
Kanniyakumari,991.379292,39.46642981,66.0624013,1,June
Kancheepuram,1021.050864,40.23892141,73.83387047,0,July
Mayiladuthurai,998.3905842,41.72527753,74.44057275,0,August
Karur,1048.827194,41.96914013,66.78199269,1,September
Krishnagiri,970.6296666,38.14775616,74.39880071,1,October
Madurai,1047.201195,34.13304193,66.51707547,0,November
Nagapattinam,983.4329685,38.45013267,71.37119125,1,December
Namakkal,954.9959703,44.3323912,73.90991213,1,January
Nilgiris (Udhagamandalam/Ooty),972.213844,27.15973211,65.42796364,1,February
Perambalur,975.6767234,33.43311852,65.6883089,1,March
Pudukkottai,1036.442587,43.49993741,71.68910311,1,April
Ramanathapuram,1022.162711,35.95254299,71.36127956,1,May
Ranipet,1001.358716,38.21481516,69.9852113,1,June
Salem,1003.343467,42.48118186,73.57797819,0,July
Sivaganga,997.1539277,26.16057292,67.27374453,1,August
Tenkasi,991.0699393,25.607303,68.63304049,1,September
Thanjavur,982.2735552,39.82528173,72.25975774,1,October
Theni,978.920688,44.2303833,70.04613653,1,November
Thoothukudi (Tuticorin),991.0099521,43.47958801,74.73792373,1,December
Tiruchirappalli (Trichy),998.1640766,26.02940434,71.60255419,0,January
Tirunelveli,1029.501726,26.12833298,67.85120016,1,February
Tirupathur,974.0357757,38.06884001,66.5184757,1,March
Tiruppur,1013.730754,28.06845108,68.7411867,0,April
Tiruvallur,1032.817127,33.49119446,72.40185256,1,May
Tiruvannamalai,1014.809557,28.55259482,71.50671615,1,June
Tiruvarur,990.5560949,30.63776142,72.61544362,1,July
Vellore,1002.159095,26.3657348,65.6103462,0,August
Viluppuram,1023.238482,39.34994653,67.11489466,1,September
Virudhunagar,986.8103998,42.71715943,66.79698247,1,October
Ariyalur,996.328678,30.10754105,69.65869046,1,November
Chengalpattu,1039.095286,42.38266573,71.5470732,1,December
Chennai,1032.52462,34.08663089,70.6513881,0,January
Coimbatore,1015.282733,26.39877551,69.70995076,0,February
Cuddalore,1032.460158,27.7716488,74.60728961,1,March
Dharmapuri,951.3948555,41.26991982,71.51937386,1,April
Dindigul,951.9686956,31.14214401,74.45189679,1,May
Erode,1005.450141,35.75386273,68.10764349,0,June
Kallakurichi,988.4740486,32.20824589,72.45533139,1,July
Kanniyakumari,971.5574163,37.91057428,70.19848211,1,August
Kancheepuram,987.5374259,25.4525694,70.57459483,1,September
Mayiladuthurai,1025.564363,37.93315785,67.73846435,1,October
Karur,1028.007983,27.786282,72.52905768,1,November
Krishnagiri,975.4960583,30.07426442,73.28136823,1,December
Madurai,960.0645012,27.81218023,66.57746569,1,January
Nagapattinam,993.5358337,33.31698823,74.9951875,1,February
Namakkal,1005.319286,31.41313592,68.726925,1,March
Nilgiris (Udhagamandalam/Ooty),977.6494864,44.76236538,69.87132813,0,April
Perambalur,1047.826213,30.38330854,70.2762082,1,May
Pudukkottai,995.5791556,40.7258704,65.98789875,1,June
Ramanathapuram,1003.582391,30.54651582,68.50127536,0,July
Ranipet,1037.111854,29.57907863,71.69123317,0,August
Salem,994.9013236,44.80771489,74.30675221,1,September
Sivaganga,1025.047365,42.23141652,70.63005991,1,October
Tenkasi,1021.525717,40.56146471,72.11343809,1,November
Thanjavur,950.6410308,44.16887366,69.84692637,1,December
Theni,960.511156,25.54389747,66.12288911,1,January
Thoothukudi (Tuticorin),989.5027895,33.49260452,70.91660389,0,February
Tiruchirappalli (Trichy),1045.478771,25.51503057,72.05437228,1,March
Tirunelveli,966.9064927,37.69405849,73.59445735,0,April
Tirupathur,996.6983526,27.0160162,68.99283201,1,May
Tiruppur,1020.513216,37.66039321,68.04330214,1,June
Tiruvallur,1041.973105,44.19499297,72.35464833,1,July
Tiruvannamalai,1028.435648,34.55933132,65.41253727,1,August
Tiruvarur,950.2590842,42.52235667,74.10552376,1,September
Vellore,1043.843374,39.0541021,66.14323404,1,October
Viluppuram,1033.208851,42.65859167,72.59166663,1,November
Virudhunagar,1024.40538,27.53849715,68.28052262,1,December
Ariyalur,1028.304331,39.00300799,69.29681478,1,January
Chengalpattu,956.5562683,42.13358587,73.39446207,0,February
Chennai,991.9836825,33.67505587,65.98554959,0,March
Coimbatore,1002.426849,29.20742515,74.99799629,1,April
Cuddalore,982.5581839,42.655874,69.63200795,1,May
Dharmapuri,984.7412978,30.43249826,69.68654697,1,June
Dindigul,1025.453241,28.19957407,66.15307381,1,July
Erode,1033.01842,25.21313214,68.48103388,1,August
Kallakurichi,1049.837693,41.8934341,65.57810632,1,September
Kanniyakumari,1009.971873,29.53126057,67.43699208,0,October
Kancheepuram,1035.506876,39.09747812,70.32711227,1,November
Mayiladuthurai,1036.639619,33.88690021,72.6214584,0,December
Karur,983.4284185,37.84051582,74.26099256,1,January
Krishnagiri,1038.281942,44.07273529,71.76669179,1,February
Madurai,1047.700069,41.53074154,72.21832468,0,March
Nagapattinam,999.0969356,33.66295423,71.00001959,0,April
Namakkal,1029.958053,31.75716796,68.75710233,1,May
Nilgiris (Udhagamandalam/Ooty),1009.64855,27.17822276,72.86872771,1,June
Perambalur,965.983695,29.47024786,72.63985073,1,July
Pudukkottai,979.4521064,31.48260871,73.62848912,1,August
Ramanathapuram,1032.419404,27.13842905,70.92930399,1,September
Ranipet,959.3039587,41.17003901,71.21114606,0,October
Salem,995.9381621,33.38147503,69.3563932,1,November
Tenkasi,1029.69492,25.04093995,66.46699179,1,December
Thanjavur,968.1952034,39.35002966,74.57531263,1,January
Theni,962.0438348,36.10113232,73.9758604,1,February
Thoothukudi (Tuticorin),979.106066,32.92145731,73.09342305,1,March
Tiruchirappalli (Trichy),1005.906983,38.32373587,70.7432073,0,April
Tirunelveli,1034.704506,40.31491575,74.9771105,1,May
Tirupathur,953.2461907,37.01742994,72.70709006,1,June
Tiruppur,1023.89087,33.3161761,74.71199548,0,July
Tiruvallur,972.4715978,35.00968516,73.28427606,1,August
Tiruvannamalai,1043.274326,39.2748079,65.49531614,1,September
Tiruvarur,982.4677944,28.16234143,73.96578543,0,October
Vellore,1036.917873,34.27526617,74.66630892,1,November
Viluppuram,1046.203714,26.52975998,65.51370496,1,December
Virudhunagar,967.7109444,26.51700726,71.23311019,1,January
Ariyalur,1032.775169,39.95871192,72.46214887,0,February
Chengalpattu,1034.464039,40.49487271,67.00482814,1,March
Chennai,964.5012236,36.42679781,68.16941145,1,April
Coimbatore,961.7933559,33.33907757,72.01141899,0,May
Cuddalore,1034.139187,28.63139397,72.82674245,0,June
Dharmapuri,980.5135215,28.60716483,68.87851057,1,July
Dindigul,1004.259561,39.56910446,73.26683868,1,August
Erode,968.4692045,39.68704609,68.52262281,0,September
Kallakurichi,976.2440845,39.3482121,66.74315301,1,October
Kanniyakumari,987.0318167,42.20037362,72.59225992,1,November
Kancheepuram,1006.458769,27.41090134,68.96321643,0,December
Mayiladuthurai,990.2790858,38.79517807,67.61309983,1,January
Karur,965.9218143,34.6434446,70.28843619,1,February
Krishnagiri,1042.590512,32.89227964,69.9462211,1,March
Madurai,1025.747793,34.1519244,73.43497023,0,April
Namakkal,1030.006556,31.23927537,73.98845953,1,May
Nilgiris (Udhagamandalam/Ooty),965.1014364,32.58434507,69.09392753,1,June
Perambalur,960.1560367,30.25951731,74.99851417,1,July
Pudukkottai,997.0612795,39.83927438,68.64856471,1,August
Ramanathapuram,1002.262209,30.49082007,74.85877783,1,September
Ranipet,975.6673985,35.86255613,68.7395357,1,October
Salem,1036.938953,42.70067532,65.29663802,1,November
Sivaganga,976.6601429,32.81691152,68.71414394,0,December
Tenkasi,1048.740304,42.68854796,67.84291814,1,January
Thanjavur,1024.024025,30.90178172,66.03980949,1,February
Theni,968.2607934,26.71026467,66.88417348,1,March
Thoothukudi (Tuticorin),959.5932721,25.17731634,65.67254055,1,April
Tiruchirappalli (Trichy),1025.966522,36.93429745,67.15718585,0,May
Tirunelveli,999.3808495,27.91867547,66.68042839,1,June
Tirupathur,993.5917083,43.76962738,71.12086269,0,July
Tiruppur,1006.391345,28.74296827,69.84374229,0,August
Tiruvallur,983.220229,41.81498514,74.2431474,1,September
Tiruvannamalai,1001.459563,35.40021438,69.6123392,1,October
Tiruvarur,1004.89475,44.87620089,67.41488005,0,November
Vellore,994.3084398,34.03859799,71.87718771,1,December
Viluppuram,1034.658395,35.8459279,67.74256975,1,January
Ariyalur,1003.99489,37.52819026,70.28800436,1,February
Chengalpattu,1032.077293,31.8806411,67.38427724,1,March
Chennai,982.7181589,35.5059777,68.60929114,0,April
Coimbatore,953.4843573,28.05307496,66.17684125,0,May
Cuddalore,1002.399951,31.01009856,72.15641493,1,June
Dharmapuri,966.3529365,42.23794263,73.35574163,0,July
Dindigul,976.9695045,25.89261143,69.11553157,1,August
Erode,984.1419812,27.816953,68.18236171,0,September
Kallakurichi,1029.951166,28.49828676,66.34984464,1,October
Kanniyakumari,1020.238742,30.46499925,74.23881364,1,November
Kancheepuram,967.0066777,35.45504396,74.52593366,1,December
Mayiladuthurai,1019.055089,30.12377643,70.8336001,1,January
Karur,990.2954362,30.72218058,72.0545898,1,February
Krishnagiri,988.2133716,35.75664362,67.58286343,1,March
Madurai,1037.360732,31.65034669,72.74351429,0,April
Nagapattinam,1001.697957,34.75817326,67.98170302,1,May
Namakkal,1042.182331,29.58240415,72.49191946,1,June
Nilgiris (Udhagamandalam/Ooty),1021.928087,36.02553039,66.70322873,1,July
Perambalur,1000.168167,40.32498732,67.7704394,1,August
Pudukkottai,988.8218656,42.85247377,73.97973223,1,September
Ramanathapuram,1023.9481,40.94199913,74.13137422,1,October
Ranipet,1025.637834,27.38600787,70.79390252,0,November
Salem,1023.995301,27.84055732,71.20960746,1,December
Sivaganga,967.0701479,28.99760923,65.55301222,1,January
Tenkasi,982.166605,26.20839548,67.39523826,1,February
Thanjavur,1049.874749,29.0666378,65.12324056,1,March
Theni,1038.459358,26.74640127,67.29524865,1,April
Thoothukudi (Tuticorin),995.752629,44.74392951,74.08921673,0,May
Tiruchirappalli (Trichy),998.7494667,32.51904801,73.60589987,1,June
Tirunelveli,997.2851519,40.88342174,68.4977818,1,July
Tirupathur,960.3018944,34.59771506,67.71696018,1,August
Tiruppur,952.348725,32.16746919,66.16305684,0,September
Tiruvallur,1028.313816,26.18506932,69.08311796,1,October
Tiruvannamalai,1005.057117,32.29488922,74.47507935,1,November
Tiruvarur,1002.035641,38.36319662,74.2936084,1,December
Vellore,1038.729446,39.33898382,71.11107261,1,January
Viluppuram,972.6703457,28.4116401,73.17978338,1,February
Virudhunagar,1032.5416,27.29630741,70.0737057,1,March
Ariyalur,1045.428496,25.02180945,67.1536086,1,April
Chengalpattu,1031.079918,37.49982856,68.97257048,1,May
Chennai,993.4707364,42.60271056,70.21323438,0,June
Coimbatore,1030.129038,36.53201622,72.26144068,0,July
Cuddalore,1004.586913,39.47612025,69.41017062,1,August
Dharmapuri,986.6900012,38.11994496,72.10173118,1,September
Dindigul,969.379188,37.52987882,73.98598167,1,October
Erode,958.6719119,35.11409414,73.07414957,0,November
Kallakurichi,1006.762102,37.96601626,67.44844654,1,December
Kanniyakumari,1010.043609,44.83109145,68.37468748,1,January
Kancheepuram,979.2462569,40.58626789,74.78540959,1,February
Mayiladuthurai,975.2214798,42.93494311,73.76879121,1,March
Karur,1045.611644,29.24731729,73.89918492,1,April
Krishnagiri,993.0694907,36.28628038,68.4807155,0,May
Madurai,986.86282,36.62544833,74.4597414,0,June
Nagapattinam,993.3189042,25.3334462,71.85287697,1,July
Namakkal,1007.000598,44.86449891,72.54045207,1,August
Nilgiris (Udhagamandalam/Ooty),1044.250641,34.44303566,65.08836683,1,September
Perambalur,993.0208103,33.20753341,67.52011622,1,October
Pudukkottai,966.2428507,40.5023244,69.06847509,1,November
Ramanathapuram,1036.829051,39.11947551,73.31727986,1,December
Ranipet,1018.474943,32.69611708,74.43379368,1,January
Salem,1049.842866,41.42611807,65.99989683,1,February
Sivaganga,976.1833665,27.83949379,71.22527834,1,March
Tenkasi,1041.957206,37.69692266,71.51877146,1,April
Thanjavur,961.5639221,38.35926545,65.47403635,0,May
Theni,1048.548442,29.90004256,72.54720986,1,June
Thoothukudi (Tuticorin),963.6358963,35.27266304,65.67111306,1,July
Tiruchirappalli (Trichy),973.7989596,36.20709034,71.75432775,1,August
Tirunelveli,1026.428999,26.88609126,68.61160044,1,September
Tirupathur,966.4005746,35.64709866,68.50691091,1,October
Tiruppur,1030.440151,31.12640315,74.08954283,0,November
Tiruvallur,976.9581038,40.62110221,73.82687702,1,December
Tiruvannamalai,993.8211251,28.61688705,65.65622219,0,January
Tiruvarur,963.4824246,38.52885869,65.56640921,1,February
Vellore,1025.24019,28.09137825,71.77079159,1,March
Viluppuram,978.4892108,38.00157061,74.72863511,1,April
Virudhunagar,963.1266157,33.50341028,70.85408961,1,May
Ariyalur,1047.679547,43.61048111,73.62314444,1,June
Chengalpattu,998.3252219,41.2191137,74.13377522,0,July
Chennai,1042.191003,27.05838807,71.95418179,0,August
Coimbatore,1015.503598,38.25693688,67.53294917,0,September
Cuddalore,1024.105714,44.36535003,72.54218747,1,October
Dharmapuri,1026.981747,40.55784174,66.27204047,1,November
Dindigul,1036.547762,31.91037091,71.58389705,1,December
Erode,1029.979486,32.0797618,69.12234825,0,January
Kallakurichi,1033.237675,32.50060063,70.54107548,1,February
Kanniyakumari,979.9411908,33.83523865,65.19704714,1,March
Kancheepuram,989.9501822,41.46806848,66.97537506,1,April
Mayiladuthurai,971.6881458,26.52068803,67.64324827,1,May
Karur,1001.244678,30.37693495,73.18974367,1,June
Krishnagiri,1004.330039,31.76885742,71.87530246,0,July
Madurai,1004.949268,35.98815546,66.18330464,0,August
Nagapattinam,975.5377776,38.84256228,68.88871185,1,September
Namakkal,988.8735299,41.05250166,70.4948215,1,October
Nilgiris (Udhagamandalam/Ooty),1031.254064,30.629394,67.38512009,0,November
Perambalur,993.0318651,36.09895371,67.66942038,0,December
Pudukkottai,1017.746473,40.79685301,73.46252729,1,January
Ramanathapuram,1015.042035,35.85002479,74.60583575,1,February
Ranipet,1022.95936,26.89984839,65.50141596,1,March
Salem,971.6679421,35.38973099,68.53008872,0,April
Sivaganga,1027.524782,29.26018294,69.95286952,1,May
Tenkasi,974.3146907,25.11100591,71.74414285,1,June
Thanjavur,1026.641985,28.66261267,73.02878315,1,July
Theni,990.1880602,31.99641405,67.64834188,1,August
Thoothukudi (Tuticorin),982.5262558,30.98361311,72.30578869,1,September
Tiruchirappalli (Trichy),959.0539854,30.06911971,69.28350117,0,October
Tirunelveli,1019.412178,44.98104753,74.66509383,1,November
Tirupathur,984.5102027,44.16681913,73.68547292,1,December
Tiruppur,967.386642,40.14705048,70.59136214,0,January
Tiruvallur,1046.704671,25.99584734,72.7385884,1,February
Tiruvannamalai,1017.921277,34.30219548,69.14368822,0,March
Tiruvarur,987.9510438,42.20099648,71.84850611,1,April
Vellore,1029.07188,29.64366943,69.91880824,1,May
Viluppuram,1048.299924,43.44166415,65.85073959,1,June
Virudhunagar,953.6934867,38.06348641,66.73503927,0,July
Ariyalur,984.1559447,32.7429821,73.5796114,1,August
Chengalpattu,1038.837962,33.18263737,73.9912565,1,September
Coimbatore,957.7723775,35.65605277,73.04622497,0,October
Cuddalore,1028.159458,43.34393277,68.23064183,1,November
Dharmapuri,1021.506348,29.15132689,68.13046419,1,December
Dindigul,1037.173794,40.57438445,74.18098689,0,January
Erode,1032.059809,26.64183253,70.784658,0,February
Kallakurichi,999.0245699,30.9323802,66.74677834,1,March
Kanniyakumari,956.8257713,31.48793801,70.13994494,1,April
Kancheepuram,995.5656018,33.09549918,71.08014011,1,May
Mayiladuthurai,1020.264572,42.71044923,71.20867322,1,June
Karur,954.9862974,29.08188401,74.69557114,1,July
Krishnagiri,1044.89642,34.47074764,71.00987892,1,August
Madurai,1031.399383,29.42610026,74.22318045,1,September
Nagapattinam,1006.854109,26.29029195,67.75124107,1,October
Namakkal,1042.706863,28.45579275,70.63603516,1,November
Nilgiris (Udhagamandalam/Ooty),1036.915528,33.4481266,71.41214034,1,December
Perambalur,1046.900562,27.30382963,70.13560696,1,January
Pudukkottai,1041.529113,40.81449131,66.78685328,1,February
Ramanathapuram,967.7897299,33.8124453,72.81258982,0,March
Ranipet,987.5786665,31.56325052,67.0191482,1,April
Salem,987.4449435,32.54864113,65.80500237,1,May
Sivaganga,1041.04856,43.70213287,65.16286376,1,June
Tenkasi,1029.063252,40.15119901,71.27309662,1,July
Thanjavur,1009.088388,38.50795149,66.3614877,1,August
Theni,999.5588977,26.68028894,69.80641116,1,September
Tiruchirappalli (Trichy),965.3118592,29.18787511,67.7931598,1,October
Tirunelveli,1023.344502,27.28298865,65.69038489,0,November
Tirupathur,1013.955172,41.15101869,67.26470749,1,December
Tiruppur,1046.816199,25.75688528,65.59497361,1,January
Tiruvallur,1012.06042,36.9870399,72.34133992,1,February
Tiruvannamalai,1024.465136,32.540119,69.67466104,0,March
Tiruvarur,1006.78609,31.36501111,68.43147042,1,April
Vellore,995.1412366,28.92401405,67.02933245,1,May
Viluppuram,982.2223671,37.57658129,69.53604001,1,June
Virudhunagar,1049.428656,31.37059508,69.83348152,1,July
Ariyalur,1041.291025,33.51757531,74.27876166,0,August
Chengalpattu,1046.101621,32.65443154,65.57470516,1,September
Chennai,1040.360889,26.74383345,72.95976597,0,October
Coimbatore,967.528469,36.90385291,73.48391034,1,November
Cuddalore,987.9705087,30.16014763,70.75329458,0,December
Dharmapuri,974.8524061,27.86219248,66.05376719,1,January
Dindigul,963.150952,30.52832063,68.72728973,1,February
Erode,1007.207471,27.965364,72.67931246,1,March
Kallakurichi,1010.397232,27.3411435,68.12503955,1,April
Kanniyakumari,1036.578044,43.7014004,70.49699246,0,May
Kancheepuram,960.0660031,27.29027672,67.13527047,1,June
Mayiladuthurai,1010.962802,30.86464132,74.55853955,1,July
Karur,964.4602703,44.65205718,74.26883083,1,August
Krishnagiri,1046.821392,41.56508749,65.68817171,1,September
Madurai,997.9713771,34.88872274,65.82367531,1,October
Nagapattinam,955.6163731,44.4304896,69.49013894,1,November
Namakkal,986.5852146,34.55351289,72.8860263,1,December
Nilgiris (Udhagamandalam/Ooty),989.5003451,26.06476172,67.76605679,1,January
Perambalur,1021.103984,39.50118967,70.99476766,1,February
Pudukkottai,990.6347814,37.45065496,70.67702578,1,March
Ramanathapuram,1002.487572,28.78934682,72.32532908,0,April
Ranipet,1000.160099,26.12224036,72.52718535,1,May
Salem,972.1630632,36.23180381,66.85011288,0,June
Sivaganga,963.6663377,35.5087814,66.88622018,1,July
Tenkasi,1028.860141,38.35170286,66.27386899,1,August
Thanjavur,962.8561569,30.86090502,69.07990487,1,September
Theni,996.6335757,36.83103902,67.74391715,1,October
Thoothukudi (Tuticorin),981.4793869,35.26486999,73.39083475,0,November
Tiruchirappalli (Trichy),979.9362703,34.83638846,74.57602989,0,December
Tirunelveli,1029.491586,40.72136415,69.21034999,0,January
Tirupathur,977.1533058,42.70483977,72.65652456,1,February
Tiruppur,1023.386248,31.62265118,73.55367213,1,March
Tiruvallur,980.3775045,37.09024748,66.96621278,1,April
Tiruvannamalai,992.8626192,25.09545383,70.55745843,0,May
Tiruvarur,971.1840179,26.638842,69.71058861,1,June
Vellore,999.133716,43.43401697,66.94460127,1,July
Viluppuram,1033.17265,25.08673684,66.00841646,0,August
Virudhunagar,1048.310803,40.28517995,66.95701603,1,September
Ariyalur,1007.647665,39.4047708,68.41431878,1,October
Chengalpattu,1045.661847,37.11571451,67.02199153,1,November
Chennai,982.432458,28.27734753,73.38072656,0,December
Coimbatore,1003.099202,41.39950964,70.35146504,1,January
Cuddalore,986.5587045,41.44237528,66.59834778,1,February
Dharmapuri,1016.784127,37.77656169,71.12136099,1,March
Dindigul,982.281725,41.8281832,73.33209446,1,April
Erode,1042.120837,27.42079653,71.1951701,1,May
Kallakurichi,977.996048,34.74780104,68.6318312,0,June
Kancheepuram,1033.359248,35.12476932,66.63541855,0,July
Mayiladuthurai,1025.460721,30.63171438,65.46737794,1,August
Karur,1040.784811,40.62074641,71.61639544,1,September
Krishnagiri,1021.664437,33.83402195,65.5965695,1,October
Madurai,1025.117193,38.71168612,70.09525241,0,November
Nagapattinam,1000.075153,27.89126604,73.74079556,1,December
Namakkal,1033.592917,34.88781338,65.80752201,1,January
Nilgiris (Udhagamandalam/Ooty),1027.096929,39.44511899,71.12771886,1,February
Perambalur,996.745486,28.43690113,65.91772484,1,March
Pudukkottai,994.6463888,28.58623344,67.96644235,1,April
Ramanathapuram,1013.999945,40.23800689,74.5708944,1,May
Ranipet,1012.718256,38.94843095,73.18115324,0,June
Salem,1043.642257,41.03706761,68.72094688,1,July
Sivaganga,987.6455091,36.16568194,67.49199844,1,August
Tenkasi,1024.379932,34.10592682,68.49824263,1,September
Thanjavur,1021.225915,31.57918209,72.40684198,1,October
Theni,1029.923267,33.86856049,68.86997849,1,November
Thoothukudi (Tuticorin),989.198858,41.49106494,66.1731335,1,December
Tiruchirappalli (Trichy),1026.981288,39.90984399,66.72898626,1,January
Tirunelveli,971.0858362,32.4858159,73.36012196,1,February
Tirupathur,950.188548,38.22079544,74.31962405,1,March
Tiruppur,1047.274103,39.7948484,72.68413424,0,April
Tiruvallur,1046.049188,41.81274595,70.25241093,0,May
Tiruvannamalai,977.1789487,34.21556679,67.569784,1,June
Tiruvarur,1006.222018,34.36760154,68.50911549,1,July
Vellore,1019.530556,33.79556666,73.50752239,0,August
Viluppuram,952.3459891,29.77648954,72.20097601,1,September
Virudhunagar,982.4687491,26.58440461,72.8689422,1,October
Ariyalur,1039.951381,29.11385981,66.76376716,1,November
Chengalpattu,1041.144991,37.74358025,66.21981429,0,December
Chennai,989.4499635,26.14569458,73.97501784,1,January
Coimbatore,1009.787866,37.75980097,65.26290666,0,February
Cuddalore,1044.382208,30.24491978,70.01343408,1,March
Dharmapuri,1003.559395,26.75979618,68.26010149,1,April
Dindigul,991.7626291,31.93534318,65.50238027,1,May
Erode,1011.337828,26.0878074,69.36287881,0,June
Kallakurichi,1017.0029,35.56649754,69.87184091,1,July
Kanniyakumari,995.1188859,25.26275634,68.62413433,0,August
Kancheepuram,1010.174873,32.24493534,73.78045223,0,September
Mayiladuthurai,984.3563426,29.20298039,69.7376327,1,October
Karur,987.197195,29.41537721,67.28770149,1,November
Krishnagiri,1003.156953,43.2141503,65.55477463,1,December
Madurai,983.0600133,30.4990816,71.92287814,1,January
Namakkal,1030.107272,41.76436942,70.39353074,1,February
Nilgiris (Udhagamandalam/Ooty),997.7074841,28.76548707,71.50291795,0,March
Perambalur,987.4906577,41.19287712,68.60284322,1,April
Pudukkottai,978.4357339,39.88715724,65.1632594,1,May
Ramanathapuram,986.6286734,35.53211223,73.88933211,0,June
Ranipet,975.195764,30.84123509,70.58414629,1,July
Salem,1028.097159,36.31758533,69.73652412,1,August
Sivaganga,999.6221731,41.11234241,72.14481515,1,September
Tenkasi,1021.500296,41.0193862,67.02762975,1,October
Thanjavur,1008.066252,35.56111163,67.92128247,1,November
Theni,1000.071171,29.31743378,73.44963028,1,December
Thoothukudi (Tuticorin),1003.082963,30.63539138,69.87933009,1,January
Tirunelveli,958.1014539,44.20566376,72.85275449,0,February
Tirupathur,1006.77509,30.89475985,68.06597714,1,March
Tiruppur,1046.274864,31.81566518,73.98863969,1,April
Tiruvallur,970.9804012,35.05373874,66.35105391,0,May
Tiruvannamalai,987.8892868,27.23797776,69.39203691,1,June
Tiruvarur,1007.159469,31.12748859,68.23381615,1,July
Vellore,989.3015042,27.10802623,72.338618,1,August
Viluppuram,962.186569,38.25913955,71.14538322,1,September
Virudhunagar,1002.370017,30.40411389,70.39005973,1,October
Ariyalur,1046.118753,42.65558827,71.76018441,0,November
Chengalpattu,1018.459649,31.2405039,68.6822888,1,December
Chennai,1020.740171,31.00119096,68.51201744,1,January
Coimbatore,976.3812208,27.7362044,69.51123141,1,February
Cuddalore,1004.459498,33.76962268,65.15414586,1,March
Dharmapuri,1038.271007,34.64039954,72.10613,1,April
Dindigul,971.7274785,39.61187904,72.05552974,1,May
Erode,996.6259182,41.00635966,69.39647917,1,June
Kallakurichi,1004.843069,38.96258441,66.20218028,1,July
Kanniyakumari,987.7361871,38.88601852,65.32390552,1,August
Kancheepuram,1033.929902,41.42964135,67.41888792,1,September
Mayiladuthurai,1021.298256,38.47190466,71.885967,1,October
Karur,1024.625799,39.30891,70.75484704,1,November
Krishnagiri,990.3406687,38.25811828,67.74469494,0,December
Madurai,1009.264803,30.98104,65.28960501,0,January
Nagapattinam,1029.38422,32.54203826,68.44352631,1,February
Namakkal,953.9541399,30.64442743,70.4990687,1,March
Nilgiris (Udhagamandalam/Ooty),981.50023,32.08813067,67.95183388,1,April
Pudukkottai,1032.47474,43.50964098,74.38665014,1,May
Ramanathapuram,988.0369949,27.90931872,67.89581723,1,June
Ranipet,1043.608616,40.40839704,72.30644944,1,July
Salem,1009.790979,33.67823764,69.31669878,1,August
Sivaganga,1035.041202,32.48220931,72.20070574,1,September
Thanjavur,980.2148825,26.82104584,69.50167661,1,October
Theni,1028.462154,42.27437579,71.71632607,1,November
Thoothukudi (Tuticorin),955.7437213,37.27511937,69.80935936,0,December
Tiruchirappalli (Trichy),970.1308812,34.25246182,67.56254197,1,January
Tirunelveli,1022.51699,31.38288884,68.06435776,1,February
Tirupathur,1048.830092,44.35149854,74.92690922,1,March
Tiruppur,956.6329008,25.74478135,65.24746287,0,April
Tiruvallur,958.9980232,44.06855785,69.35059702,1,May
Tiruvannamalai,961.1809538,37.64569774,67.55655675,0,June
Tiruvarur,1037.760082,27.78671859,72.09614817,1,July
Vellore,1027.452079,30.17503784,70.65685738,1,August
Viluppuram,1013.351531,28.33752376,72.15712436,1,September
Virudhunagar,972.7917035,27.36802247,74.27988774,1,October
Ariyalur,980.8112445,27.52810781,65.71436463,1,November
Chengalpattu,1003.609387,31.99767702,72.93079733,0,December
Chennai,993.4596776,30.5824988,72.09825531,0,January
Coimbatore,1021.016504,29.84319026,72.94535604,0,February
Cuddalore,999.0660125,36.98070545,74.66792,1,March
Dharmapuri,986.0624791,28.49283035,69.80230671,1,April
Dindigul,1026.781612,36.34396125,69.82006473,1,May
Erode,1001.213057,30.0171561,74.19554634,0,June
Kallakurichi,1035.132955,39.84873851,70.06531227,1,July
Kanniyakumari,996.6826232,34.48211322,73.55692525,0,August
Kancheepuram,998.2292665,31.54443808,73.7786699,0,September
Mayiladuthurai,955.1518383,42.87124447,70.21808335,1,October
Karur,985.6144579,28.71943079,67.13927287,1,November
Krishnagiri,996.905715,38.29919935,72.23007739,0,December
Madurai,998.245317,43.52068615,68.70511555,0,January
Nagapattinam,979.2713689,25.72007989,66.73052512,1,February
Namakkal,1009.852499,35.13957965,71.19335208,1,March
Nilgiris (Udhagamandalam/Ooty),972.1057969,37.52470263,67.570747,1,April
Perambalur,1001.922263,39.25658128,67.01762442,1,May
Pudukkottai,1001.374996,37.56132293,67.18300418,1,June
Ramanathapuram,1017.756509,40.38394528,71.71289664,1,July
Ranipet,1030.21921,29.71492193,69.74467916,1,August
Salem,1013.855629,33.25944243,74.53965058,1,September
Sivaganga,976.4151256,43.72428511,69.85118352,0,October
Tenkasi,976.6741834,29.31001447,65.27570254,1,November
Theni,963.1221503,44.73016031,72.72755628,1,December
Thoothukudi (Tuticorin),1038.071791,25.36312662,72.76119989,1,January
Tiruchirappalli (Trichy),1023.875343,34.54269288,72.49764209,0,February
Tirunelveli,994.318066,30.90581322,65.93357831,1,March
Tirupathur,975.4586977,36.62191767,71.47796102,1,April
Tiruppur,1041.059002,36.01468485,73.19895467,0,May
